"","(Intercept)","Year","CC9_Households","CC10_Household_Size","CC11_Population_Estimate","CC12_Total_Population","B14__declared_legal_protected","B14__undeclared_illegal_unprotected","B14__resettled","Eviction_Threats","EE2A_Current_Eviction_Threat","EE2B_Current_Eviction_Seriousnesshigh","EE2B_Current_Eviction_Seriousnesslow","EE2B_Current_Eviction_Seriousnessmedium","EE2B_Current_Eviction_Seriousnessnone","C13__few_rent","C13__less_half_rent","C13__half_rent","C13__most_rent","C13__no_rent","FF1_8_Water_Sourcesindividual_taps","FF1_8_Water_Sourcesshared_taps","FF1_8_Water_Sourcescommunity_taps","FF1_8_Water_Sourceswells","FF1_8_Water_Sourcesdams","FF1_8_Water_Sourcessprings","`FF6_Supply_(private=1,municipality=0)_springs`","FF1_8_Water_Sourcesrivers","FF1_8_Water_Sourceswater_tankers","FF1_8_Water_Sourceswater_kiosk","FF11_Water_MonthlyCost","FF12_Water_CollectionTime10_minutes","FF12_Water_CollectionTime15_minutes","FF12_Water_CollectionTime30_minutes","FF12_Water_CollectionTime30_minutes_to_1_hour","FF12_Water_CollectionTime5_minutes","FF12_Water_CollectionTimemore_than_1_hour","FF13_Water_Fetchanimal","FF13_Water_Fetchmotorized_transport","FF13_Water_Fetchother","FF13_Water_Fetchwalk","FF13_Water_Fetchwheel_barrow","FF14_Water_HoursPerDay","`FF15_Main_Water_Line_(yes=1, no=0)`","GG1_Sewer_Line","GG2_Sewer_Connected","GG4_Toilets_Pay_Amount","GG7_10_Toilet_Typesindividual_toilets","GG7_Managermunicipality","GG7_Managerother","GG7_Managerprivate","GG7_Managerprivate_group","GG7_Managerprivate_individual","GG7_10_Toilet_Typesshared_toilets","GG7_10_Toilet_Typescommunal_toilets","GG9_Managercommunity","GG9_Managermunicipality","GG9_Managerother","GG9_Managerprivate","GG9_Managerprivate_individual","GG7_10_Toilet_Typespublic_toilets","GG10_Managercommunity","GG10_Managermunicipality","GG10_Managerother","GG10_Managerprivate","GG10_Managerprivate_group","GG10_Managerprivate_individual","GG11_Toilet_AverageWait10_minutes","GG11_Toilet_AverageWait15_minutes","GG11_Toilet_AverageWait30_minutes","GG11_Toilet_AverageWait5_minutes","DD1_Location_Problemscanal","DD1_Location_Problemsslope","DD1_Location_Problemsflood_prone_area","DD1_Location_Problemsgarbage_dump","DD1_Location_Problemsroad_side","DD1_Location_Problemsopen_drains","DD1_Location_Problemswater_body","DD1_Location_Problemsrailway_track","DD1_Location_Problemsmine_dump","DD1_Location_Problemssinking_soil","DD1_Location_Problemsindustrial_hazards","DD1_Location_Problemsunder_power_lines","DD1_Location_Problemsother","DD2_Location_Dangerous","JJ1_Electricity_Availableno","JJ1_Electricity_Availableyes","Y_train"
"480",1,1889,17500,16,511,379,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,60,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,21,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0857142857142857
"449",1,1985,2500,16,88,447,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,100,0,0,0,0,1,0,0,0,0,1,0,24,1,1,1,38,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.166666666666667
"343",1,1992,3060,14,517,273,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15000,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"394",1,1930,4000,15,130,126,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,42000,0,0,0,0,1,0,0,0,0,1,0,12,1,0,0,40,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.219512195121951
"13",1,1905,11000,15,387,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,600,1,0,0,0,0,0,0,0,0,0,0,24,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
"236",1,2014,334,19,167,158,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,30000,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0.405646359583952
"374",1,1990,3700,19,220,203,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30000,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.0123051681706317
"107",1,1905,600,16,268,237,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2400,0,0,0,0,1,0,0,0,0,1,0,24,1,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0.920634920634921
"156",1,1905,1320,15,403,360,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,300,0,0,0,0,1,0,0,0,0,1,0,12,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.651162790697674
"114",1,1960,440,14,18,17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,12000,0,0,1,0,0,0,0,0,0,1,0,12,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.866666666666667
"70",1,2011,1205,11,188,190,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,420,0,0,0,0,1,0,0,0,0,1,0,24,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0.947945205479452
"202",1,1891,1500,16,484,45,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,90,0,0,0,0,1,0,0,0,0,1,0,6,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0.287769784172662
"487",1,1956,17500,16,511,208,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,30,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,16,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0.222222222222222
"179",1,1974,400,15,31,28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,1,0,0,0,0,1,0,12,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0476190476190476
"499",1,1999,4200,19,242,221,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,20600,0,0,0,0,1,0,0,0,0,1,0,24,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0
